Glass ,A1,A2,A3,B1,B2,B3
S-LAL54Q,9.20085087E-01,7.58646115E-01,1.07073096E+00,1.60829667E-02,2.92059306E-03,8.51211200E+01
S-LAL58,1.06368789E+00,7.44939067E-01,1.59178942E+00,1.85199640E-02,1.16295862E-03,1.56636025E+02
S-LAL59,1.13962742E+00,8.05227838E-01,1.29488061E+00,4.93294862E-03,2.02479960E-02,9.34746507E+01
S-LAL61,1.11073292E+00,8.59347773E-01,1.26707433E+00,4.64181248E-03,1.92989261E-02,8.73917698E+01
S-LAM 2,1.77130000E+00,1.95814230E-01,1.19487834E+00,9.76652444E-03,4.12718628E-02,1.10458122E+02
S-LAM 3,1.64258713E+00,2.39634610E-01,1.22483026E+00,8.68246020E-03,3.51226242E-02,1.16604369E+02
S-LAM 7,1.71014712E+00,2.56943292E-01,1.63986271E+00,1.05161080E-02,5.02809636E-02,1.46181217E+02
S-LAM54,1.84213306E+00,1.75468631E-01,1.25750878E+00,9.43993220E-03,3.95281122E-02,8.65463013E+01
S-LAM55,1.85412979E+00,1.65450323E-01,1.27255422E+00,1.08438152E-02,5.14050980E-02,1.09986837E+02
S-LAM60,1.60673056E+00,3.66415640E-01,1.31761804E+00,7.75046140E-03,2.89967611E-02,9.30720709E+01
S-LAM61,1.73883330E+00,1.50937430E-01,1.12118445E+00,9.80244105E-03,4.33179685E-02,1.01214625E+02
S-LAM66,1.92094221E+00,2.19901208E-01,1.72705231E+00,1.15075241E-02,5.47993543E-02,1.20133674E+02
S-LAM73,1.86353123E+00,2.55215617E-01,1.23399133E+00,1.07620673E-02,4.87248679E-02,1.17125110E+02
S-LAH51,1.82586991E+00,2.83023349E-01,1.35964319E+00,9.35297152E-03,3.73803057E-02,1.00655798E+02
S-LAH52,1.85390925E+00,2.97925555E-01,1.39382086E+00,9.55320687E-03,3.93816850E-02,1.02706848E+02
S-LAH52Q,1.91082318E+00,2.39854589E-01,1.16159733E+00,1.03565352E-02,4.13805081E-02,9.66037300E+01
S-LAH53,1.91811619E+00,2.53724399E-01,1.39473885E+00,1.02147684E-02,4.33176011E-02,1.01938021E+02
S-LAH53V,1.96600955E+00,2.05143305E-01,1.23200934E+00,1.07817785E-02,4.63727869E-02,9.76940600E+01
S-LAH55V,1.97025325E+00,3.04894140E-01,1.39214665E+00,9.91088134E-03,3.83202295E-02,9.77785249E+01
S-LAH55VS,1.92591095E+00,3.48953460E-01,1.42230744E+00,9.61152490E-03,3.65132980E-02,1.03364090E+02
S-LAH58,1.78764964E+00,6.52635600E-01,1.79914564E+00,8.47378536E-03,3.13126408E-02,1.32788001E+02
S-LAH59,1.51372967E+00,7.02462343E-01,1.33600982E+00,7.05246901E-03,2.49488689E-02,1.00085908E+02
S-LAH60,1.95243469E+00,3.07100210E-01,1.56578094E+00,1.06442437E-02,4.56735302E-02,1.10281410E+02
S-LAH60V,2.05081962E+00,2.08475257E-01,1.31486394E+00,1.16035991E-02,5.26489359E-02,9.93806500E+01
S-LAH63,1.89458276E+00,2.68702978E-01,1.45705526E+00,1.02277048E-02,4.42801243E-02,1.04874927E+02
S-LAH63Q,1.96723017E+00,1.94953915E-01,1.25386282E+00,1.10456086E-02,4.97137061E-02,1.04843520E+02
S-LAH64,1.83021453E+00,2.91563590E-01,1.28544024E+00,9.04823290E-03,3.30756689E-02,8.93675501E+01
S-LAH65V,1.81419034E+00,3.61376301E-01,1.32729484E+00,8.74935029E-03,3.18352836E-02,9.13406898E+01
S-LAH65VS,1.76068422E+00,4.14128906E-01,1.33415439E+00,8.53607198E-03,3.01826383E-02,9.80942100E+01
S-LAH66,1.39280586E+00,6.79577094E-01,1.38702069E+00,6.08475118E-03,2.33925351E-02,9.58354094E+01
S-LAH71,1.98280031E+00,3.16758450E-01,2.44472646E+00,1.18987459E-02,5.27156001E-02,2.13220697E+02
S-LAH79,2.32557148E+00,5.07967133E-01,2.43087198E+00,1.32895208E-02,5.28335449E-02,1.61122408E+02
S-LAH88,2.12844340E+00,4.05082139E-01,1.67918461E+00,1.17309815E-02,5.08706599E-02,1.07091456E+02
S-LAH89,1.95118827E+00,3.77607223E-01,1.47757262E+00,9.76560799E-03,3.82232043E-02,1.12236720E+02
S-LAH92,2.10440311E+00,3.58346161E-01,1.63010064E+00,1.08531811E-02,4.43405920E-02,1.23249800E+02
S-LAH93,2.17884378E+00,3.25508683E-01,1.70608646E+00,1.15760879E-02,4.95982503E-02,1.28913580E+02
S-LAH95,2.15636617E+00,3.29558178E-01,1.72178935E+00,1.22880510E-02,5.55507835E-02,1.24439340E+02
S-LAH96,1.85078519E+00,1.89204854E-01,1.19763137E+00,9.40657541E-03,3.80345187E-02,1.01426835E+02
S-LAH97,1.02730180E+00,9.89293564E-01,1.25781057E+00,1.83406129E-02,3.71264195E-03,8.78510500E+01
S-LAH98,2.28510629E+00,3.85532264E-01,2.06551120E+00,1.22178962E-02,5.14752342E-02,1.45920870E+02
S-LAH99,2.39140662E+00,4.39219228E-01,2.38358467E+00,1.31467500E-02,5.53226042E-02,1.61259900E+02
S-FTM16,1.32940907E+00,1.41512125E-01,1.44299068E+00,1.02377287E-02,5.78081956E-02,1.50597139E+02
S-NBM51,1.37023101E+00,1.77665568E-01,1.30515471E+00,8.71920342E-03,4.05725552E-02,1.12703058E+02
S-NBH 5,1.47544521E+00,1.93060095E-01,1.50939010E+00,9.55836740E-03,4.60430483E-02,1.26422746E+02
S-NBH 8,1.61344136E+00,2.57295888E-01,1.98364455E+00,1.06386752E-02,4.87071624E-02,1.59784404E+02
S-NBH51,1.71203689E+00,2.55989588E-01,1.81456998E+00,1.07724134E-02,4.88593504E-02,1.36359013E+02
S-NBH52V,1.51336868E+00,2.12341478E-01,1.54149143E+00,9.87077827E-03,4.62843662E-02,1.26978510E+02
S-NBH53V,1.65444141E+00,2.67453927E-01,2.14530347E+00,1.12485533E-02,5.20272740E-02,1.67366100E+02
S-NBH55,1.83145156E+00,2.87818024E-01,2.15208300E+00,1.22443139E-02,5.73877310E-02,1.86099124E+02
S-NBH56,1.85191438E+00,4.31102852E-01,3.45278284E+00,1.32732620E-02,5.85944644E-02,2.39357089E+02
S-NBH57,1.92026488E+00,3.71535240E-01,2.55205704E+00,1.18468028E-02,5.32105472E-02,2.04549300E+02
S-NBH58,1.71408219E+00,3.62966167E-01,2.56486266E+00,1.16812775E-02,5.40847347E-02,1.88785700E+02
S-NPH 1,1.75156623E+00,3.64006304E-01,2.47874141E+00,1.35004681E-02,6.68245147E-02,1.70756006E+02
S-NPH 1W,1.75156623E+00,3.64006304E-01,2.47874141E+00,1.35004681E-02,6.68245147E-02,1.70756006E+02
S-NPH 2,2.03869510E+00,4.37269641E-01,2.96711461E+00,1.70796224E-02,7.49254813E-02,1.74155354E+02
S-NPH 3,2.09834903E+00,4.89088388E-01,2.94009268E+00,1.79123869E-02,7.76653353E-02,1.60930428E+02
S-NPH 4,1.93563931E+00,4.49596478E-01,2.71828573E+00,1.52585289E-02,6.96815778E-02,1.70327149E+02
S-NPH 5,1.89108996E+00,3.95220126E-01,2.20492127E+00,1.41164499E-02,6.62834445E-02,1.48680700E+02
