FTM8,2.31E+00,-9.30E-03,1.41E-02,6.19E-04,-3.54E-05,4.36E-06
FTM16,2.47E+00,-1.05E-02,1.99E-02,1.32E-03,-9.41E-05,1.06E-05
L-BAL35,1.16E+00,1.26E-02,3.26E-01,-3.27E-03,1.35E+00,1.19E+02
L-BAL35P,8.07E-01,1.49E-02,6.90E-01,2.52E-03,1.26E+00,1.11E+02
L-BAL42,1.40E+00,1.12E-02,7.26E-02,-2.47E-02,1.66E+00,1.68E+02
L-BAL42P,8.81E-01,1.48E-02,5.95E-01,1.64E-03,1.23E+00,1.25E+02
L-BAL43,1.05E+00,5.63E-03,4.28E-01,1.88E-02,1.14E+00,1.14E+02
L-BBH1,2.57E+00,2.05E-02,5.27E-01,8.32E-02,1.28E+00,1.10E+02
L-BBH2,2.53E+00,1.87E-02,5.83E-01,7.65E-02,1.53E+00,1.12E+02
L-BSL7,9.17E-01,5.28E-03,3.53E-01,1.71E-02,1.06E+00,1.04E+02
L-LAH53,1.87E+00,9.93E-03,2.98E-01,4.06E-02,1.35E+00,1.01E+02
L-LAH81,1.90E+00,1.03E-02,2.71E-01,4.24E-02,1.33E+00,1.01E+02
L-LAH83,1.82E+00,9.11E-03,5.49E-01,3.28E-02,1.63E+00,1.24E+02
L-LAH84,1.84E+00,9.82E-03,3.42E-01,3.86E-02,1.35E+00,1.07E+02
L-LAH84P,1.83E+00,9.79E-03,3.56E-01,3.84E-02,1.38E+00,1.10E+02
L-LAH85,1.94E+00,9.96E-03,3.98E-01,3.70E-02,1.50E+00,1.08E+02
L-LAH85V,1.97E+00,1.02E-02,3.62E-01,3.85E-02,1.38E+00,1.04E+02
L-LAH86,2.11E+00,1.21E-02,3.70E-01,5.32E-02,1.63E+00,1.09E+02
L-LAH87,1.44E+00,7.32E-03,6.18E-01,2.45E-02,1.22E+00,1.06E+02
L-LAH90,1.98E+00,1.04E-02,2.84E-01,4.28E-02,1.35E+00,1.01E+02
L-LAH91,1.26E+00,5.73E-03,7.82E-01,2.20E-02,1.16E+00,8.80E+01
L-LAH94,2.01E+00,1.05E-02,3.47E-01,4.46E-02,1.42E+00,1.06E+02
L-LAL12,1.29E+00,6.41E-03,4.78E-01,2.15E-02,1.22E+00,1.00E+02
L-LAL13,1.18E+00,5.58E-03,6.35E-01,2.07E-02,1.20E+00,9.96E+01
L-LAL15,1.08E+00,4.70E-03,7.32E-01,1.99E-02,1.17E+00,8.70E+01
L-LAM60,1.48E+00,7.37E-03,4.96E-01,2.52E-02,1.24E+00,9.80E+01
L-LAM69,1.74E+00,1.03E-02,1.77E-01,4.85E-02,1.77E+00,1.37E+02
L-LAM72,1.50E+00,7.50E-03,4.33E-01,2.69E-02,1.27E+00,9.58E+01
L-NBH54,2.01E+00,1.36E-02,4.42E-01,5.92E-02,3.37E+00,2.20E+02
L-PHL1,1.08E+00,5.92E-03,3.35E-01,2.03E-02,8.11E-01,1.06E+02
L-PHL2,1.08E+00,5.94E-03,3.13E-01,1.98E-02,8.79E-01,1.10E+02
L-TIH53,1.83E+00,1.35E-02,4.15E-01,6.19E-02,2.83E+00,2.02E+02
L-TIM28,1.53E+00,1.14E-02,2.33E-01,5.59E-02,1.72E+00,1.72E+02
